doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
wb/c2e/00/c2e_0019_0,0,1,8,-1,-1,-1,2
wb/c2e/00/c2e_0019_0,1,4,6,-1,-1,-1,1
wb/c2e/00/c2e_0019_0,2,21,24,-1,-1,-1,3
wb/c2e/00/c2e_0019_0,3,28,41,2,21,24,3
wb/c2e/00/c2e_0019_0,4,72,79,0,1,8,2
wb/c2e/00/c2e_0019_0,5,75,77,1,4,6,1
wb/c2e/00/c2e_0019_0,6,92,112,-1,-1,-1,4
wb/c2e/00/c2e_0019_0,7,116,117,6,92,112,4
wb/c2e/00/c2e_0019_0,8,132,133,-1,-1,-1,5
wb/c2e/00/c2e_0019_0,9,159,159,-1,-1,-1,6
wb/c2e/00/c2e_0019_0,10,175,175,9,159,159,6
wb/c2e/00/c2e_0019_0,11,216,220,-1,-1,-1,7
wb/c2e/00/c2e_0019_0,12,231,235,-1,-1,-1,8
wb/c2e/00/c2e_0019_0,13,241,241,-1,-1,-1,9
wb/c2e/00/c2e_0019_0,14,256,256,13,241,241,9
wb/c2e/00/c2e_0019_0,15,259,266,11,216,220,7
wb/c2e/00/c2e_0019_0,16,286,295,12,231,235,8
wb/c2e/00/c2e_0019_0,17,294,295,8,132,133,5
wb/c2e/00/c2e_0019_0,18,308,310,-1,-1,-1,10
wb/c2e/00/c2e_0019_0,19,446,446,3,28,41,3
wb/c2e/00/c2e_0019_0,20,452,469,-1,-1,-1,11
wb/c2e/00/c2e_0019_0,21,480,480,18,308,310,10
wb/c2e/00/c2e_0019_0,22,506,506,20,452,469,11
wb/c2e/00/c2e_0019_0,23,532,532,22,506,506,11
wb/c2e/00/c2e_0019_0,24,540,540,23,532,532,11
wb/c2e/00/c2e_0019_0,25,558,558,24,540,540,11
wb/c2e/00/c2e_0019_0,26,585,585,25,558,558,11
